State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132
HI;Oahu;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.08900000000000001;;;;;
HI;Oahu;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;;;;;;0.78;;;;;
CNMI;Saipan;2011-04-04;2011-03-22;Air Cartridge;pCi/m3;;;;;;0.58;;;;;
CNMI;Saipan;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;;;;;;0.07200000000000001;;;;;
CNMI;Saipan;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.057;;;;;
CNMI;Saipan;2011-04-09;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.22;;;;;
CNMI;Saipan;2011-04-09;2011-03-26;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-08;2011-03-28;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-10;2011-03-29;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-10;2011-03-30;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;;;;;;
CNMI;Saipan;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;;;;;;
CA;San Bernardino;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;;;;;;0.69;;;;;
CA;San Bernardino;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;;;;;;1.1;;;;;
ID;Boise;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;;;;0.068;;;;;
AK;Dutch Harbor;2011-03-30;2011-03-19;Air Filter;pCi/m3;;;0.043;;0.063;0.69;0.29;;;;0.4
AK;Dutch Harbor;2011-03-30;2011-03-20;Air Filter;pCi/m3;;;0.0098;;0.013999999999999999;0.2;0.034;;;;0.027999999999999997
AK;Dutch Harbor;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;0.07200000000000001;;0.053;0.077;;;;;0.1
AK;Dutch Harbor;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;0.069;;0.08800000000000001;0.078;0.079;;;;0.12
AK;Dutch Harbor;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;;;;;;;;;
AK;Dutch Harbor;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;0.012;;0.012;0.036000000000000004;0.011000000000000001;;;;0.018000000000000002
Guam;Guam;2011-03-30;2011-03-21;Air Filter;pCi/m3;;;0.018000000000000002;;0.021;0.13;0.02;;;;0.034
Guam;Guam;2011-03-30;2011-03-23;Air Filter;pCi/m3;;;;;;0.066;;;;;
Guam;Guam;2011-03-30;2011-03-23;Air Filter;pCi/m3;;;0.0034;;0.0047;0.052000000000000005;;;;;0.0076
HI;Honolulu;2011-03-30;2011-03-21;Air Filter;pCi/m3;;;0.0051;;0.006999999999999999;0.23;0.006;;;;0.0061
FL;Jacksonville;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;0.0073;;0.0082;0.14;0.011000000000000001;;;;0.016
AK;Juneau;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;;;;0.064;;;;;
AK;Juneau;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;0.0036;;0.004;0.055999999999999994;;;;;0.0037
AK;Juneau;2011-03-30;2011-03-23;Air Filter;pCi/m3;;;;;;0.079;;;;;
AK;Juneau;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;;;;0.035;;;;;
HI;Kauai;2011-04-04;2011-03-21;Air Filter;pCi/m3;;;0.079;;0.086;0.52;0.06;;;;0.064
HI;Kauai;2011-04-04;2011-03-21;Air Filter;pCi/m3;;;0.061;0.0083;0.075;0.39;0.042;;;;0.052000000000000005
HI;Kauai;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;;;;0.08900000000000001;;;;;
HI;Kauai;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;0.013999999999999999;;0.02;0.07;;;;;0.017
CNMI;Saipan;2011-03-30;2011-03-21;Air Filter;pCi/m3;;;0.033;;0.04;0.24;0.036000000000000004;;;;0.055999999999999994
NV;Las Vegas;2011-04-04;2011-03-18;Air Filter;pCi/m3;;;;;;0.096;;;;;
NV;Las Vegas;2011-04-04;2011-03-21;Air Filter;pCi/m3;;;0.052000000000000005;;0.048;0.21;0.039;;;;0.040999999999999995
NV;Las Vegas;2011-04-04;2011-03-21;Air Filter;pCi/m3;;;;;;;;;;;
NV;Las Vegas;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;;;;0.06;;;;;
NV;Las Vegas;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;;;;0.053;;;;;
NV;Las Vegas;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;0.032;;0.057999999999999996;0.2;;;;;0.027000000000000003
AL;Montgomery;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;;;;0.031;;;;;0.0094
AL;Montgomery;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;;;0.0018;0.012;;;;;
AK;Nome;2011-03-30;2011-03-21;Air Filter;pCi/m3;;;;;0.015;0.069;;;;;
AK;Nome;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;;;;0.068;;;;;
HI;Oahu;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;;;;0.14;;;;;
HI;Oahu;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;0.0064;;0.01;0.11;0.017;;;;0.026000000000000002
FL;Orlando;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;0.015;0.0014;0.019;0.2;0.018000000000000002;;;0.13;0.024
AZ;Phoenix;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;;;;;;;;;
CA;Riverside;2011-03-30;2011-03-15;Air Filter;pCi/m3;;;;;;;;;;;
CA;Riverside;2011-03-30;2011-03-18;Air Filter;pCi/m3;;;0.00023999999999999998;;0.00023999999999999998;0.011000000000000001;0.0011;;;;0.0014
CNMI;Saipan;2011-03-30;2011-03-21;Air Filter;pCi/m3;;;0.068;;;0.27;;;;;0.1
CNMI;Saipan;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;;;;0.095;;;;;
CNMI;Saipan;2011-04-04;2011-03-22;Air Filter;pCi/m3;;;0.0058;;0.0042;0.08800000000000001;;;;;0.0083
UT;Salt Lake City;2011-04-04;2011-03-21;Air Filter;pCi/m3;;;0.013999999999999999;0.0029;0.018000000000000002;0.35;0.019;;;;0.025
UT;Salt Lake City;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;;;;0.079;;;;;
CA;San Bernardino;2011-03-30;2011-03-20;Air Filter;pCi/m3;;;0.0088;;0.017;0.14;;;;;0.027000000000000003
CA;San Bernardino;2011-03-30;2011-03-20;Air Filter;pCi/m3;;;0.012;;0.013999999999999999;0.17;0.027000000000000003;;;;0.031
CA;San Bernardino;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;;;0.018000000000000002;0.11;;;;;
CA;San Bernardino;2011-03-30;2011-03-22;Air Filter;pCi/m3;;;0.013000000000000001;;0.018000000000000002;0.11;0.018000000000000002;;;;0.027000000000000003
CA;San Bernardino;2011-03-30;2011-03-23;Air Filter;pCi/m3;;;;;;0.09300000000000001;;;;;
CA;San Bernardino;2011-03-30;2011-03-23;Air Filter;pCi/m3;;;;;;0.09300000000000001;;;;;
CA;San Francisco;2011-03-30;2011-03-18;Air Filter;pCi/m3;;;0.0009199999999999999;;0.0013;0.068;0.0066;0.002;;;0.0075
WA;Seattle;2011-03-30;2011-03-18;Air Filter;pCi/m3;;;0.0005200000000000001;;0.00045;0.013000000000000001;0.0029;;;;0.0034
FL;Tampa;2011-04-04;2011-03-24;Air Filter;pCi/m3;;;;;;;;;;;
NY;Albany;2011-04-08;2011-03-29;Drinking Water;pCi/l;;;;;;;;;;;
NY;Albany;2011-04-21;2011-04-13;Drinking Water;pCi/l;;;;;;;;;;;
VA;Ashland;2011-04-08;2011-03-29;Drinking Water;pCi/l;;;;;;;;;;;
VA;Ashland;2011-04-22;2011-04-15;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/Y-12;2011-04-04;2011-03-17;Precipitation;pCi/l;;;;;;;;;;;
TX;Austin;2011-04-04;2011-03-28;Drinking Water;pCi/l;;;;;;;;;;;
TX;Austin;2011-06-01;2011-04-12;Drinking Water;pCi/l;;;;;;;;;;;
MD;Baltimore;2011-04-08;2011-03-28;Drinking Water;pCi/l;;;;;;;;;;;
MD;Baltimore;2011-06-01;2011-04-13;Drinking Water;pCi/l;;;;;;;;;;;
SC;Barnwell;2011-04-08;2011-03-31;Drinking Water;pCi/l;;;;;;;;;;;
SC;Barnwell;2011-04-22;2011-04-14;Drinking Water;pCi/l;;;;;;;;;;;
GA;Baxley;2011-04-08;2011-03-29;Drinking Water;pCi/l;;;;;;;;;;;
GA;Baxley;2011-04-22;2011-04-14;Drinking Water;pCi/l;;;;;;;;;;;
ND;Bismarck;2011-04-04;2011-03-28;Drinking Water;pCi/l;;;;;;;;;;;
ND;Bismarck;2011-06-01;2011-04-13;Drinking Water;pCi/l;;;;;;;;;;;
ID;Boise;2011-04-04;2011-03-28;Drinking Water;pCi/l;;;;;;0.2;;;;;
ID;Boise;2011-04-22;2011-04-14;Drinking Water;pCi/l;;;;;;;;;;;
IA;Cedar Rapids;2011-04-08;2011-03-30;Drinking Water;pCi/l;;;;;;;;;;;
IA;Cedar Rapids;2011-06-01;2011-04-13;Drinking Water;pCi/l;;;;;;;;;;;
NC;Charlotte;2011-04-08;2011-03-28;Drinking Water;pCi/l;;;;;;;;;;;
NC;Charlotte;2011-04-22;2011-04-13;Drinking Water;pCi/l;;;;;;;;;;;
TN;Chattanooga;2011-04-08;2011-03-28;Drinking Water;pCi/l;;;;;;1.6;;;;;
TN;Chattanooga;2011-06-01;2011-04-15;Drinking Water;pCi/l;;;;;;;;;;;
OH;Cincinnati;2011-04-08;2011-03-28;Drinking Water;pCi/l;;;;;;0.13;;;;;
